issue,hundreds,tens,ones
2004285,0,7,0
2004286,5,5,7
2004287,9,8,6
2004288,7,9,1
2004289,9,4,1
2004290,6,1,1
2004291,1,4,4
2004292,4,7,1
2004293,5,0,5
2004294,8,2,8
2004295,6,0,7
2004296,8,7,8
2004297,4,7,7
2004298,4,7,6
2004299,4,3,9
2004300,6,7,9
2004301,6,8,8
2004302,1,7,7
2004303,2,6,4
2004304,5,9,7
2004305,2,7,0
2004306,0,8,6
2004307,9,3,6
2004308,2,8,7
2004309,1,5,2
2004310,2,4,7
2004311,7,9,8
2004312,8,0,1
2004313,4,8,5
2004314,2,0,5
2004315,8,0,0
2004316,1,5,1
2004317,9,9,2
2004318,2,5,3
2004319,9,1,1
2004320,4,2,4
2004321,8,2,8
2004322,6,3,1
2004323,3,3,9
2004324,8,3,6
2004325,9,3,5
2004326,3,0,3
2004327,2,2,7
2004328,0,9,2
2004329,9,2,7
2004330,8,2,1
2004331,7,3,1
2004332,2,8,4
2004333,7,9,8
2004334,9,3,3
2004335,0,6,6
2004336,1,6,7
2004337,4,8,7
2004338,0,0,8
2004339,3,7,8
2004340,4,0,9
2004341,7,7,4
2004342,7,2,2
2004343,2,2,9
2004344,3,6,9
2004345,6,5,1
2004346,6,4,9
2004347,3,5,7
2004348,2,6,3
2004349,4,7,2
2004350,7,8,7
2004351,4,1,9
2004352,1,8,7
2004353,5,1,9
2004354,6,1,9
2004355,1,0,7
2004356,3,9,7
2004357,2,2,9
2004358,6,0,5
2004359,3,2,1
2005001,0,1,9
2005002,0,4,3
2005003,9,2,8
2005004,0,5,2
2005005,5,6,8
2005006,8,6,4
2005007,3,1,9
2005008,0,0,3
2005009,7,0,7
2005010,6,5,8
2005011,7,4,0
2005012,8,5,4
2005013,8,5,0
2005014,0,5,3
2005015,4,3,8
2005016,1,0,7
2005017,8,0,2
2005018,7,1,5
2005019,8,0,3
2005020,7,6,6
2005021,0,7,5
2005022,3,1,3
2005023,4,0,5
2005024,2,7,1
2005025,9,8,5
2005026,3,3,9
2005027,9,2,5
2005028,3,8,9
2005029,7,1,7
2005030,8,2,7
2005031,6,9,9
2005032,8,5,3
2005033,8,8,1
2005034,1,5,1
2005035,5,9,9
2005036,2,7,5
2005037,0,7,4
2005038,6,3,1
2005039,0,8,6
2005040,7,2,3
2005041,7,0,0
2005042,4,6,6
2005043,9,4,2
2005044,9,3,4
2005045,0,2,8
2005046,4,8,8
2005047,7,1,0
2005048,0,0,5
2005049,7,8,4
2005050,2,7,2
2005051,8,3,0
2005052,4,9,3
2005053,1,4,2
2005054,3,0,7
2005055,0,5,8
2005056,2,5,7
2005057,0,8,1
2005058,1,9,5
2005059,5,4,2
2005060,7,1,7
2005061,2,4,5
2005062,3,1,1
2005063,9,5,9
2005064,6,0,0
2005065,4,6,7
2005066,7,8,7
2005067,8,7,5
